id_vente,date,id_client,nom_client,region,id_produit,nom_produit,categorie,qte,prix_unitaire_Ar,remise_%,total_Ar,marge_Ar
V1038,2025-09-25,C005,Quincaillerie Diego,Antsiranana,P001,Riz Maka 25kg,Riz,12,65000,0,780000.0,120000.0
V1039,2025-09-25,C006,Alimentation Ambilobe,Ambilobe,P005,Sucre Blanc 1kg,Sucre,9,4000,0,36000.0,7200.0
V1040,2025-09-25,C003,Hotel Constance Nosy Be,Nosy Be,P019,Ciment Holcim 50kg,Matériaux,9,45000,0,405000.0,63000.0
V1041,2025-09-25,C004,Epicerie Madiro,Ambanja,P005,Sucre Blanc 1kg,Sucre,1,4000,0,4000.0,800.0
V1042,2025-09-26,C003,Hotel Constance Nosy Be,Nosy Be,P002,Riz Tsipala 50kg,Riz,27,130000,0,3510000.0,540000.0
V1043,2025-09-26,C006,Alimentation Ambilobe,Ambilobe,P008,Farine 1kg,Farine,11,2800,0,30800.0,6600.0
V1044,2025-09-26,C003,Hotel Constance Nosy Be,Nosy Be,P018,Coca 1 pack 33cl,Boisson,15,15000,0,225000.0,45000.0
V1045,2025-09-26,C005,Quincaillerie Diego,Antsiranana,P005,Sucre Blanc 1kg,Sucre,15,4000,0,60000.0,12000.0
V1046,2025-09-26,C002,Score Jumbo,Antsiranana,P006,Sucre Roux 1kg,Sucre,15,3800,0,57000.0,12000.0
V1047,2025-09-26,C001,Epicerie Amina,Antsiranana,P006,Sucre Roux 1kg,Sucre,12,3800,0,45600.0,9600.0
V1048,2025-09-26,C004,Epicerie Madiro,Ambanja,P008,Farine 1kg,Farine,5,2800,0,14000.0,3000.0
V1049,2025-09-27,C006,Alimentation Ambilobe,Ambilobe,P004,Huile Hina 5L,Huile,7,33000,0,231000.0,35000.0
V1050,2025-09-27,C004,Epicerie Madiro,Ambanja,P008,Farine 1kg,Farine,4,2800,0,11200.0,2400.0
V1051,2025-09-28,C003,Hotel Constance Nosy Be,Nosy Be,P010,Lait Bonnet Rouge 450g,Lait,14,4500,0,63000.0,14000.0
V1052,2025-09-28,C002,Score Jumbo,Antsiranana,P001,Riz Maka 25kg,Riz,17,65000,0,1105000.0,170000.0
V1053,2025-09-28,C003,Hotel Constance Nosy Be,Nosy Be,P009,Lait Nido 2kg,Lait,14,78000,0,1092000.0,182000.0
V1054,2025-09-28,C003,Hotel Constance Nosy Be,Nosy Be,P012,Omo 1kg,Hygiène,11,10000,5,104500.0,16500.0
V1055,2025-09-28,C004,Epicerie Madiro,Ambanja,P018,Coca 1 pack 33cl,Boisson,6,15000,0,90000.0,18000.0
V1056,2025-09-29,C001,Epicerie Amina,Antsiranana,P009,Lait Nido 2kg,Lait,3,78000,5,222300.0,27300.0
V1057,2025-09-29,C003,Hotel Constance Nosy Be,Nosy Be,P002,Riz Tsipala 50kg,Riz,11,130000,5,1358500.0,148500.0
V1058,2025-09-29,C004,Epicerie Madiro,Ambanja,P012,Omo 1kg,Hygiène,12,10000,0,120000.0,24000.0
V1059,2025-09-29,C004,Epicerie Madiro,Ambanja,P020,Tôles 3m galvanisées,Matériaux,9,32000,0,288000.0,63000.0
V1060,2025-09-29,C004,Epicerie Madiro,Ambanja,P019,Ciment Holcim 50kg,Matériaux,4,45000,0,180000.0,28000.0
V1061,2025-09-30,C001,Epicerie Amina,Antsiranana,P014,Tomate concentrée 1 carton,Conserve,1,30000,5,28500.0,3500.0
V1062,2025-09-30,C005,Quincaillerie Diego,Antsiranana,P007,Farine 25kg,Farine,6,54000,0,324000.0,54000.0
V1063,2025-09-30,C001,Epicerie Amina,Antsiranana,P011,Savon Nosy 1 carton,Hygiène,10,50000,0,500000.0,80000.0
V1064,2025-09-30,C006,Alimentation Ambilobe,Ambilobe,P004,Huile Hina 5L,Huile,12,33000,0,396000.0,60000.0
V1065,2025-09-30,C005,Quincaillerie Diego,Antsiranana,P010,Lait Bonnet Rouge 450g,Lait,11,4500,0,49500.0,11000.0
V1066,2025-09-30,C003,Hotel Constance Nosy Be,Nosy Be,P013,Boite Sardine 10pcs,Conserve,12,18000,0,216000.0,36000.0
V1067,2025-10-01,C005,Quincaillerie Diego,Antsiranana,P005,Sucre Blanc 1kg,Sucre,4,4000,0,16000.0,3200.0
V1068,2025-10-01,C006,Alimentation Ambilobe,Ambilobe,P013,Boite Sardine 10pcs,Conserve,11,18000,10,178200.0,13200.0
V1069,2025-10-01,C002,Score Jumbo,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,10,32000,0,320000.0,70000.0
V1070,2025-10-01,C004,Epicerie Madiro,Ambanja,P018,Coca 1 pack 33cl,Boisson,14,15000,0,210000.0,42000.0
V1071,2025-10-02,C003,Hotel Constance Nosy Be,Nosy Be,P010,Lait Bonnet Rouge 450g,Lait,4,4500,0,18000.0,4000.0
V1072,2025-10-02,C005,Quincaillerie Diego,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,11,32000,0,352000.0,77000.0
V1073,2025-10-02,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,8,3200,10,23040.0,3040.0
V1074,2025-10-02,C002,Score Jumbo,Antsiranana,P017,Eau Vive 1 pack 1.5L,Boisson,8,10000,10,72000.0,8000.0
V1075,2025-10-02,C002,Score Jumbo,Antsiranana,P003,Huile Ril 20L,Huile,5,98000,5,465500.0,40500.0
V1076,2025-10-02,C006,Alimentation Ambilobe,Ambilobe,P020,Tôles 3m galvanisées,Matériaux,6,32000,0,192000.0,42000.0
V1077,2025-10-03,C002,Score Jumbo,Antsiranana,P010,Lait Bonnet Rouge 450g,Lait,4,4500,0,18000.0,4000.0
V1078,2025-10-03,C002,Score Jumbo,Antsiranana,P001,Riz Maka 25kg,Riz,7,65000,0,455000.0,70000.0
V1079,2025-10-03,C004,Epicerie Madiro,Ambanja,P020,Tôles 3m galvanisées,Matériaux,14,32000,0,448000.0,98000.0
V1080,2025-10-03,C004,Epicerie Madiro,Ambanja,P014,Tomate concentrée 1 carton,Conserve,15,30000,10,405000.0,30000.0
V1081,2025-10-03,C005,Quincaillerie Diego,Antsiranana,P007,Farine 25kg,Farine,12,54000,10,583200.0,43200.0
V1082,2025-10-03,C004,Epicerie Madiro,Ambanja,P016,Biscuit Gold 1 carton,Biscuit,7,22000,0,154000.0,28000.0
V1083,2025-10-04,C002,Score Jumbo,Antsiranana,P001,Riz Maka 25kg,Riz,11,65000,0,715000.0,110000.0
V1084,2025-10-05,C002,Score Jumbo,Antsiranana,P006,Sucre Roux 1kg,Sucre,13,3800,10,44460.0,5460.0
V1085,2025-10-05,C005,Quincaillerie Diego,Antsiranana,P015,Pâtes Spaghetti 500g,Pâtes,1,3200,5,3040.0,540.0
V1086,2025-10-05,C002,Score Jumbo,Antsiranana,P004,Huile Hina 5L,Huile,8,33000,0,264000.0,40000.0
V1087,2025-10-05,C004,Epicerie Madiro,Ambanja,P017,Eau Vive 1 pack 1.5L,Boisson,9,10000,5,85500.0,13500.0
V1088,2025-10-05,C003,Hotel Constance Nosy Be,Nosy Be,P015,Pâtes Spaghetti 500g,Pâtes,10,3200,10,28800.0,3800.0
V1089,2025-10-05,C005,Quincaillerie Diego,Antsiranana,P014,Tomate concentrée 1 carton,Conserve,14,30000,5,399000.0,49000.0
V1090,2025-10-05,C004,Epicerie Madiro,Ambanja,P006,Sucre Roux 1kg,Sucre,12,3800,0,45600.0,9600.0
V1091,2025-10-06,C004,Epicerie Madiro,Ambanja,P009,Lait Nido 2kg,Lait,13,78000,0,1014000.0,169000.0
V1092,2025-10-06,C006,Alimentation Ambilobe,Ambilobe,P009,Lait Nido 2kg,Lait,13,78000,5,963300.0,118300.0
V1093,2025-10-07,C004,Epicerie Madiro,Ambanja,P008,Farine 1kg,Farine,5,2800,0,14000.0,3000.0
V1094,2025-10-07,C001,Epicerie Amina,Antsiranana,P010,Lait Bonnet Rouge 450g,Lait,4,4500,0,18000.0,4000.0
V1095,2025-10-07,C003,Hotel Constance Nosy Be,Nosy Be,P011,Savon Nosy 1 carton,Hygiène,15,50000,5,712500.0,82500.0
V1096,2025-10-07,C001,Epicerie Amina,Antsiranana,P005,Sucre Blanc 1kg,Sucre,3,4000,0,12000.0,2400.0
V1097,2025-10-07,C004,Epicerie Madiro,Ambanja,P005,Sucre Blanc 1kg,Sucre,12,4000,0,48000.0,9600.0
V1098,2025-10-07,C001,Epicerie Amina,Antsiranana,P014,Tomate concentrée 1 carton,Conserve,7,30000,0,210000.0,35000.0
V1099,2025-10-07,C005,Quincaillerie Diego,Antsiranana,P015,Pâtes Spaghetti 500g,Pâtes,7,3200,0,22400.0,4900.0
V1100,2025-10-07,C002,Score Jumbo,Antsiranana,P014,Tomate concentrée 1 carton,Conserve,7,30000,5,199500.0,24500.0
V1101,2025-10-07,C006,Alimentation Ambilobe,Ambilobe,P001,Riz Maka 25kg,Riz,29,65000,0,1885000.0,290000.0
V1102,2025-10-07,C001,Epicerie Amina,Antsiranana,P012,Omo 1kg,Hygiène,5,10000,0,50000.0,10000.0
V1103,2025-10-07,C004,Epicerie Madiro,Ambanja,P018,Coca 1 pack 33cl,Boisson,12,15000,10,162000.0,18000.0
V1104,2025-10-08,C005,Quincaillerie Diego,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,15,32000,0,480000.0,105000.0
V1105,2025-10-08,C004,Epicerie Madiro,Ambanja,P008,Farine 1kg,Farine,5,2800,0,14000.0,3000.0
V1106,2025-10-08,C004,Epicerie Madiro,Ambanja,P001,Riz Maka 25kg,Riz,29,65000,0,1885000.0,290000.0
V1107,2025-10-08,C006,Alimentation Ambilobe,Ambilobe,P013,Boite Sardine 10pcs,Conserve,12,18000,0,216000.0,36000.0
V1108,2025-10-09,C004,Epicerie Madiro,Ambanja,P005,Sucre Blanc 1kg,Sucre,10,4000,5,38000.0,6000.0
V1109,2025-10-09,C001,Epicerie Amina,Antsiranana,P013,Boite Sardine 10pcs,Conserve,10,18000,5,171000.0,21000.0
V1110,2025-10-09,C006,Alimentation Ambilobe,Ambilobe,P001,Riz Maka 25kg,Riz,10,65000,10,585000.0,35000.0
V1111,2025-10-10,C004,Epicerie Madiro,Ambanja,P005,Sucre Blanc 1kg,Sucre,14,4000,0,56000.0,11200.0
V1112,2025-10-10,C002,Score Jumbo,Antsiranana,P002,Riz Tsipala 50kg,Riz,21,130000,0,2730000.0,420000.0
V1113,2025-10-10,C003,Hotel Constance Nosy Be,Nosy Be,P007,Farine 25kg,Farine,8,54000,0,432000.0,72000.0
V1114,2025-10-10,C003,Hotel Constance Nosy Be,Nosy Be,P013,Boite Sardine 10pcs,Conserve,5,18000,0,90000.0,15000.0
V1115,2025-10-10,C003,Hotel Constance Nosy Be,Nosy Be,P003,Huile Ril 20L,Huile,8,98000,0,784000.0,104000.0
V1116,2025-10-10,C006,Alimentation Ambilobe,Ambilobe,P018,Coca 1 pack 33cl,Boisson,1,15000,0,15000.0,3000.0
V1117,2025-10-10,C002,Score Jumbo,Antsiranana,P003,Huile Ril 20L,Huile,13,98000,10,1146600.0,41600.0
V1118,2025-10-10,C001,Epicerie Amina,Antsiranana,P001,Riz Maka 25kg,Riz,20,65000,0,1300000.0,200000.0
V1119,2025-10-11,C001,Epicerie Amina,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,3,32000,0,96000.0,21000.0
V1120,2025-10-11,C002,Score Jumbo,Antsiranana,P016,Biscuit Gold 1 carton,Biscuit,11,22000,0,242000.0,44000.0
V1121,2025-10-11,C005,Quincaillerie Diego,Antsiranana,P007,Farine 25kg,Farine,8,54000,10,388800.0,28800.0
V1122,2025-10-12,C003,Hotel Constance Nosy Be,Nosy Be,P012,Omo 1kg,Hygiène,3,10000,5,28500.0,4500.0
V1123,2025-10-12,C005,Quincaillerie Diego,Antsiranana,P004,Huile Hina 5L,Huile,13,33000,0,429000.0,65000.0
V1124,2025-10-12,C003,Hotel Constance Nosy Be,Nosy Be,P004,Huile Hina 5L,Huile,10,33000,0,330000.0,50000.0
V1125,2025-10-13,C003,Hotel Constance Nosy Be,Nosy Be,P019,Ciment Holcim 50kg,Matériaux,11,45000,0,495000.0,77000.0
V1126,2025-10-13,C004,Epicerie Madiro,Ambanja,P007,Farine 25kg,Farine,2,54000,5,102600.0,12600.0
V1127,2025-10-13,C006,Alimentation Ambilobe,Ambilobe,P008,Farine 1kg,Farine,2,2800,10,5040.0,640.0
V1128,2025-10-13,C003,Hotel Constance Nosy Be,Nosy Be,P020,Tôles 3m galvanisées,Matériaux,13,32000,0,416000.0,91000.0
V1129,2025-10-13,C005,Quincaillerie Diego,Antsiranana,P002,Riz Tsipala 50kg,Riz,27,130000,5,3334500.0,364500.0
V1130,2025-10-14,C004,Epicerie Madiro,Ambanja,P012,Omo 1kg,Hygiène,2,10000,5,19000.0,3000.0
V1131,2025-10-14,C006,Alimentation Ambilobe,Ambilobe,P011,Savon Nosy 1 carton,Hygiène,1,50000,0,50000.0,8000.0
V1132,2025-10-14,C004,Epicerie Madiro,Ambanja,P004,Huile Hina 5L,Huile,7,33000,0,231000.0,35000.0
V1133,2025-10-14,C006,Alimentation Ambilobe,Ambilobe,P015,Pâtes Spaghetti 500g,Pâtes,12,3200,0,38400.0,8400.0
V1134,2025-10-14,C004,Epicerie Madiro,Ambanja,P006,Sucre Roux 1kg,Sucre,12,3800,5,43320.0,7320.0
V1135,2025-10-14,C006,Alimentation Ambilobe,Ambilobe,P009,Lait Nido 2kg,Lait,10,78000,5,741000.0,91000.0
V1136,2025-10-14,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,7,3200,10,20160.0,2660.0
V1137,2025-10-14,C005,Quincaillerie Diego,Antsiranana,P009,Lait Nido 2kg,Lait,6,78000,0,468000.0,78000.0
V1138,2025-10-15,C001,Epicerie Amina,Antsiranana,P009,Lait Nido 2kg,Lait,15,78000,0,1170000.0,195000.0
V1139,2025-10-15,C002,Score Jumbo,Antsiranana,P015,Pâtes Spaghetti 500g,Pâtes,10,3200,5,30400.0,5400.0
V1140,2025-10-15,C006,Alimentation Ambilobe,Ambilobe,P013,Boite Sardine 10pcs,Conserve,6,18000,0,108000.0,18000.0
V1141,2025-10-16,C004,Epicerie Madiro,Ambanja,P011,Savon Nosy 1 carton,Hygiène,3,50000,0,150000.0,24000.0
V1142,2025-10-16,C002,Score Jumbo,Antsiranana,P012,Omo 1kg,Hygiène,13,10000,0,130000.0,26000.0
V1143,2025-10-17,C003,Hotel Constance Nosy Be,Nosy Be,P009,Lait Nido 2kg,Lait,15,78000,5,1111500.0,136500.0
V1144,2025-10-17,C006,Alimentation Ambilobe,Ambilobe,P009,Lait Nido 2kg,Lait,9,78000,0,702000.0,117000.0
V1145,2025-10-17,C005,Quincaillerie Diego,Antsiranana,P007,Farine 25kg,Farine,2,54000,0,108000.0,18000.0
V1146,2025-10-17,C006,Alimentation Ambilobe,Ambilobe,P014,Tomate concentrée 1 carton,Conserve,8,30000,5,228000.0,28000.0
V1147,2025-10-17,C002,Score Jumbo,Antsiranana,P016,Biscuit Gold 1 carton,Biscuit,11,22000,10,217800.0,19800.0
V1148,2025-10-18,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,13,3200,0,41600.0,9100.0
V1149,2025-10-18,C001,Epicerie Amina,Antsiranana,P010,Lait Bonnet Rouge 450g,Lait,4,4500,0,18000.0,4000.0
V1150,2025-10-18,C006,Alimentation Ambilobe,Ambilobe,P008,Farine 1kg,Farine,5,2800,10,12600.0,1600.0
V1151,2025-10-19,C005,Quincaillerie Diego,Antsiranana,P012,Omo 1kg,Hygiène,8,10000,5,76000.0,12000.0
V1152,2025-10-19,C005,Quincaillerie Diego,Antsiranana,P012,Omo 1kg,Hygiène,7,10000,10,63000.0,7000.0
V1153,2025-10-19,C005,Quincaillerie Diego,Antsiranana,P011,Savon Nosy 1 carton,Hygiène,6,50000,10,270000.0,18000.0
V1154,2025-10-19,C004,Epicerie Madiro,Ambanja,P009,Lait Nido 2kg,Lait,5,78000,0,390000.0,65000.0
V1155,2025-10-19,C002,Score Jumbo,Antsiranana,P004,Huile Hina 5L,Huile,12,33000,0,396000.0,60000.0
V1156,2025-10-19,C003,Hotel Constance Nosy Be,Nosy Be,P004,Huile Hina 5L,Huile,12,33000,5,376200.0,40200.0
V1157,2025-10-19,C006,Alimentation Ambilobe,Ambilobe,P006,Sucre Roux 1kg,Sucre,4,3800,0,15200.0,3200.0
V1158,2025-10-19,C006,Alimentation Ambilobe,Ambilobe,P016,Biscuit Gold 1 carton,Biscuit,5,22000,10,99000.0,9000.0
V1159,2025-10-20,C005,Quincaillerie Diego,Antsiranana,P017,Eau Vive 1 pack 1.5L,Boisson,10,10000,0,100000.0,20000.0
V1160,2025-10-20,C001,Epicerie Amina,Antsiranana,P007,Farine 25kg,Farine,5,54000,0,270000.0,45000.0
V1161,2025-10-20,C003,Hotel Constance Nosy Be,Nosy Be,P006,Sucre Roux 1kg,Sucre,5,3800,0,19000.0,4000.0
V1162,2025-10-20,C006,Alimentation Ambilobe,Ambilobe,P018,Coca 1 pack 33cl,Boisson,3,15000,0,45000.0,9000.0
V1163,2025-10-20,C001,Epicerie Amina,Antsiranana,P002,Riz Tsipala 50kg,Riz,40,130000,0,5200000.0,800000.0
V1164,2025-10-20,C006,Alimentation Ambilobe,Ambilobe,P005,Sucre Blanc 1kg,Sucre,11,4000,0,44000.0,8800.0
V1165,2025-10-20,C001,Epicerie Amina,Antsiranana,P001,Riz Maka 25kg,Riz,23,65000,0,1495000.0,230000.0
V1166,2025-10-20,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,6,3200,0,19200.0,4200.0
V1167,2025-10-20,C001,Epicerie Amina,Antsiranana,P009,Lait Nido 2kg,Lait,14,78000,0,1092000.0,182000.0
V1168,2025-10-20,C001,Epicerie Amina,Antsiranana,P003,Huile Ril 20L,Huile,7,98000,0,686000.0,91000.0
V1169,2025-10-21,C001,Epicerie Amina,Antsiranana,P019,Ciment Holcim 50kg,Matériaux,11,45000,10,445500.0,27500.0
V1170,2025-10-21,C001,Epicerie Amina,Antsiranana,P005,Sucre Blanc 1kg,Sucre,3,4000,5,11400.0,1800.0
V1171,2025-10-21,C003,Hotel Constance Nosy Be,Nosy Be,P003,Huile Ril 20L,Huile,4,98000,0,392000.0,52000.0
V1172,2025-10-22,C005,Quincaillerie Diego,Antsiranana,P014,Tomate concentrée 1 carton,Conserve,10,30000,5,285000.0,35000.0
V1173,2025-10-22,C005,Quincaillerie Diego,Antsiranana,P008,Farine 1kg,Farine,13,2800,5,34580.0,5980.0
V1174,2025-10-23,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,15,3200,0,48000.0,10500.0
V1175,2025-10-23,C003,Hotel Constance Nosy Be,Nosy Be,P019,Ciment Holcim 50kg,Matériaux,7,45000,0,315000.0,49000.0
V1176,2025-10-23,C005,Quincaillerie Diego,Antsiranana,P020,Tôles 3m galvanisées,Matériaux,1,32000,5,30400.0,5400.0
V1177,2025-10-23,C006,Alimentation Ambilobe,Ambilobe,P004,Huile Hina 5L,Huile,13,33000,0,429000.0,65000.0
V1178,2025-10-23,C006,Alimentation Ambilobe,Ambilobe,P007,Farine 25kg,Farine,5,54000,10,243000.0,18000.0
V1179,2025-10-24,C001,Epicerie Amina,Antsiranana,P006,Sucre Roux 1kg,Sucre,4,3800,0,15200.0,3200.0
V1180,2025-10-24,C005,Quincaillerie Diego,Antsiranana,P003,Huile Ril 20L,Huile,3,98000,0,294000.0,39000.0
V1181,2025-10-24,C004,Epicerie Madiro,Ambanja,P015,Pâtes Spaghetti 500g,Pâtes,12,3200,5,36480.0,6480.0
V1182,2025-10-24,C004,Epicerie Madiro,Ambanja,P010,Lait Bonnet Rouge 450g,Lait,1,4500,0,4500.0,1000.0
V1183,2025-10-24,C003,Hotel Constance Nosy Be,Nosy Be,P010,Lait Bonnet Rouge 450g,Lait,12,4500,0,54000.0,12000.0
V1184,2025-10-24,C001,Epicerie Amina,Antsiranana,P008,Farine 1kg,Farine,15,2800,0,42000.0,9000.0
V1185,2025-10-24,C006,Alimentation Ambilobe,Ambilobe,P019,Ciment Holcim 50kg,Matériaux,11,45000,0,495000.0,77000.0
V1186,2025-10-25,C004,Epicerie Madiro,Ambanja,P004,Huile Hina 5L,Huile,9,33000,0,297000.0,45000.0
V1187,2025-10-25,C006,Alimentation Ambilobe,Ambilobe,P005,Sucre Blanc 1kg,Sucre,15,4000,0,60000.0,12000.0
V1188,2025-10-25,C002,Score Jumbo,Antsiranana,P003,Huile Ril 20L,Huile,1,98000,0,98000.0,13000.0
V1189,2025-10-25,C003,Hotel Constance Nosy Be,Nosy Be,P020,Tôles 3m galvanisées,Matériaux,12,32000,5,364800.0,64800.0
V1190,2025-10-25,C003,Hotel Constance Nosy Be,Nosy Be,P015,Pâtes Spaghetti 500g,Pâtes,2,3200,0,6400.0,1400.0
V1191,2025-10-25,C006,Alimentation Ambilobe,Ambilobe,P010,Lait Bonnet Rouge 450g,Lait,12,4500,0,54000.0,12000.0
V1192,2025-10-26,C003,Hotel Constance Nosy Be,Nosy Be,P017,Eau Vive 1 pack 1.5L,Boisson,9,10000,0,90000.0,18000.0
V1193,2025-10-26,C004,Epicerie Madiro,Ambanja,P003,Huile Ril 20L,Huile,10,98000,0,980000.0,130000.0
V1194,2025-10-26,C004,Epicerie Madiro,Ambanja,P011,Savon Nosy 1 carton,Hygiène,10,50000,0,500000.0,80000.0
V1195,2025-10-26,C001,Epicerie Amina,Antsiranana,P003,Huile Ril 20L,Huile,4,98000,10,352800.0,12800.0
V1196,2025-10-26,C005,Quincaillerie Diego,Antsiranana,P019,Ciment Holcim 50kg,Matériaux,1,45000,10,40500.0,2500.0
V1197,2025-10-26,C003,Hotel Constance Nosy Be,Nosy Be,P019,Ciment Holcim 50kg,Matériaux,1,45000,0,45000.0,7000.0
V1198,2025-10-27,C004,Epicerie Madiro,Ambanja,P017,Eau Vive 1 pack 1.5L,Boisson,11,10000,0,110000.0,22000.0
V1199,2025-10-27,C003,Hotel Constance Nosy Be,Nosy Be,P006,Sucre Roux 1kg,Sucre,10,3800,0,38000.0,8000.0
V1200,2025-10-28,C006,Alimentation Ambilobe,Ambilobe,P016,Biscuit Gold 1 carton,Biscuit,2,22000,0,44000.0,8000.0
V1201,2025-10-28,C003,Hotel Constance Nosy Be,Nosy Be,P014,Tomate concentrée 1 carton,Conserve,6,30000,0,180000.0,30000.0
